나이대,2018,2019,2020,2021,2022
0대,5.8,5.772421196447741,5.586433367642012,5.4245838567839195,5.2488920544476105
10대,7.199999999999999,6.818581048111642,6.559819634367495,6.425683103015075,6.405310224754669
20대,10.3,10.368888455157606,9.950497475861393,9.467258165829145,8.68945868945869
30대,9.8,9.544256855665072,9.253541145909914,8.979467650753769,8.871478315922761
40대,13.1,12.801058667842963,12.40797921874234,12.0180983040201,11.801598607154162
50대,18.4,18.131647306768613,17.948340930255355,17.770493090452263,17.669753086419753
65세 미만,9.0,9.665245307062689,9.992648139979416,10.53902324120603,10.778727445394113
65세 이상,26.299999999999997,27.125422731951183,28.300740087242072,29.3753925879397,30.53478157644824
